city,max temperature,latitude,longitude,humidity,clouds,wind,country,date
vila velha,78.8,-20.33,-40.29,78,40,8.05,BR,1587074025
tecpan,87.8,14.76,-90.99,25,20,11.41,GT,1587074192
sioux lookout,32.0,50.1,-91.92,72,75,13.87,CA,1587074060
vanderhoof,57.18,54.02,-124.02,45,3,3.56,CA,1587074193
laurel,54.0,39.1,-76.85,29,40,14.99,US,1587074155
itoman,64.4,26.12,127.67,72,20,5.82,JP,1587074193
korla,60.82,41.76,86.15,39,100,8.63,CN,1587074193
yibin,72.97,28.77,104.62,58,100,1.52,CN,1587074193
ghatampur,86.56,26.17,80.17,17,28,3.13,IN,1587074194
sao jose da coroa grande,81.91,-8.9,-35.15,78,94,10.04,BR,1587074093
bubaque,79.11,11.28,-15.83,69,29,16.08,GW,1587074194
seoul,57.2,37.57,126.98,66,90,3.36,KR,1587074029
komsomolskiy,51.8,40.43,71.72,76,33,1.19,UZ,1587074068
ahuimanu,82.4,21.44,-157.84,58,75,12.75,US,1587074194
olinda,78.8,-8.01,-34.86,88,75,5.82,BR,1587073911
lubango,62.19,-14.92,13.49,46,13,0.51,AO,1587074195
collie,54.0,-33.37,116.15,58,34,6.08,AU,1587073971
heihe,32.0,50.24,127.49,55,0,2.24,CN,1587074195
narsaq,30.2,60.92,-46.05,86,100,4.7,GL,1587074045
ilhabela,73.71,-23.78,-45.36,64,90,6.11,BR,1587074195
los llanos de aridane,68.0,28.66,-17.92,72,40,6.93,ES,1587074195
qinhuangdao,49.06,39.93,119.59,79,96,8.34,CN,1587074195
